pin_name	x	y
soc_220	1975.59572	6110.55186
soc_222	1661.99572	6110.55186
soc_224	1348.39572	6110.55186
soc_229	3700.39572	5949.11058
soc_231	3386.79572	5949.11058
soc_233	3073.19572	5949.11058
soc_235	2759.59572	5949.11058
soc_237	2445.99572	5949.11058
soc_239	2132.39572	5949.11058
soc_241	1818.79572	5949.11058
soc_243	1505.19572	5949.11058
soc_250	3543.59572	5787.6693
soc_252	3229.99572	5787.6693
soc_254	2916.39572	5787.6693
soc_256	2602.79572	5787.6693
soc_258	2289.19572	5787.6693
soc_260	1975.59572	5787.6693
soc_262	1661.99572	5787.6693
soc_264	1348.39572	5787.6693
soc_269	3700.39572	5626.22802
soc_271	3386.79572	5626.22802
soc_273	3073.19572	5626.22802
soc_275	2759.59572	5626.22802
soc_277	2445.99572	5626.22802
soc_279	2132.39572	5626.22802
soc_281	1818.79572	5626.22802
soc_283	1505.19572	5626.22802
soc_290	3543.59572	5464.78674
soc_292	3229.99572	5464.78674
soc_294	2916.39572	5464.78674
soc_296	2602.79572	5464.78674
soc_298	2289.19572	5464.78674
soc_300	1975.59572	5464.78674
soc_302	1661.99572	5464.78674
soc_304	1348.39572	5464.78674
soc_309	3700.39572	5303.34546
soc_311	3386.79572	5303.34546
soc_313	3073.19572	5303.34546
soc_315	2759.59572	5303.34546
soc_317	2445.99572	5303.34546
soc_319	2132.39572	5303.34546
soc_321	1818.79572	5303.34546
soc_323	1505.19572	5303.34546
soc_330	3543.59572	5141.90418
soc_332	3229.99572	5141.90418
soc_334	2916.39572	5141.90418
soc_336	2602.79572	5141.90418
soc_338	2289.19572	5141.90418
soc_340	1975.59572	5141.90418
soc_342	1661.99572	5141.90418
soc_344	1348.39572	5141.90418
soc_349	3700.39572	4980.4629
soc_351	3386.79572	4980.4629
soc_353	3073.19572	4980.4629
soc_355	2759.59572	4980.4629
soc_357	2445.99572	4980.4629
soc_359	2132.39572	4980.4629
soc_361	1818.79572	4980.4629
soc_363	1505.19572	4980.4629
soc_370	3543.59572	4819.02162
soc_372	3229.99572	4819.02162
soc_374	2916.39572	4819.02162
soc_376	2602.79572	4819.02162
soc_378	2289.19572	4819.02162
soc_380	1975.59572	4819.02162
soc_382	1661.99572	4819.02162
soc_384	1348.39572	4819.02162
soc_392	3229.99572	4657.58034
soc_394	2916.39572	4657.58034
soc_396	2602.79572	4657.58034
soc_398	2289.19572	4657.58034
soc_400	1975.59572	4657.58034
soc_402	1661.99572	4657.58034
soc_404	1348.39572	4657.58034
soc_411	3386.79572	4496.13906
soc_413	3073.19572	4496.13906
soc_415	2759.59572	4496.13906
soc_417	2445.99572	4496.13906
soc_419	2132.39572	4496.13906
soc_421	1818.79572	4496.13906
soc_423	1505.19572	4496.13906
soc_432	3229.99572	4334.69778
soc_434	2916.39572	4334.69778
soc_436	2602.79572	4334.69778
