Frequency_GHz,S21_Magnitude_dB,S21_Phase_deg
2.058801,-0.002,-1.9792
2.066808,-0.002,-1.9869
2.074815,-0.002,-1.9946
2.082822,-0.002,-2.0023
2.090829,-0.002,-2.01
2.098836,-0.0021,-2.0177
2.106843,-0.0021,-2.0254
2.11485,-0.0021,-2.0331
2.122857,-0.0021,-2.0408
2.130864,-0.0021,-2.0485
2.138871,-0.0021,-2.0561
2.146878,-0.0022,-2.0638
2.154885,-0.0022,-2.0715
2.162892,-0.0022,-2.0792
2.170899,-0.0022,-2.0869
2.178906,-0.0022,-2.0946
2.186913,-0.0022,-2.1023
2.19492,-0.0023,-2.11
2.202927,-0.0023,-2.1177
2.210934,-0.0023,-2.1254
2.218941,-0.0023,-2.1331
2.226948,-0.0023,-2.1408
2.234955,-0.0023,-2.1485
2.242962,-0.0023,-2.1562
2.250969,-0.0024,-2.1639
2.258976,-0.0024,-2.1716
2.266983,-0.0024,-2.1793
2.27499,-0.0024,-2.1869
2.282997,-0.0024,-2.1946
2.291004,-0.0025,-2.2023
2.299011,-0.0025,-2.21
2.307018,-0.0025,-2.2177
2.315025,-0.0025,-2.2254
2.323032,-0.0025,-2.2331
2.331039,-0.0025,-2.2408
2.339046,-0.0026,-2.2485
2.347053,-0.0026,-2.2562
2.35506,-0.0026,-2.2639
2.363067,-0.0026,-2.2716
2.371074,-0.0026,-2.2793
2.379081,-0.0026,-2.287
2.387088,-0.0027,-2.2947
2.395095,-0.0027,-2.3024
2.403102,-0.0027,-2.31
2.411109,-0.0027,-2.3177
2.419116,-0.0027,-2.3254
2.427123,-0.0028,-2.3331
2.43513,-0.0028,-2.3408
2.443137,-0.0028,-2.3485
2.451144,-0.0028,-2.3562
2.459151,-0.0028,-2.3639
2.467158,-0.0028,-2.3716
2.475165,-0.0029,-2.3793
2.483172,-0.0029,-2.387
2.491179,-0.0029,-2.3947
2.499186,-0.0029,-2.4024
2.507193,-0.0029,-2.4101
2.5152,-0.003,-2.4177
2.523207,-0.003,-2.4254
2.531214,-0.003,-2.4331
2.539221,-0.003,-2.4408
2.547228,-0.003,-2.4485
2.555235,-0.003,-2.4562
2.563242,-0.0031,-2.4639
2.571249,-0.0031,-2.4716
2.579256,-0.0031,-2.4793
2.587263,-0.0031,-2.487
2.59527,-0.0031,-2.4947
2.603277,-0.0032,-2.5024
2.611284,-0.0032,-2.5101
2.619291,-0.0032,-2.5177
2.627298,-0.0032,-2.5254
2.635305,-0.0032,-2.5331
2.643312,-0.0033,-2.5408
2.651319,-0.0033,-2.5485
2.659326,-0.0033,-2.5562
2.667333,-0.0033,-2.5639
2.67534,-0.0033,-2.5716
2.683347,-0.0034,-2.5793
2.691354,-0.0034,-2.587
2.699361,-0.0034,-2.5947
2.707368,-0.0034,-2.6024
2.715375,-0.0034,-2.6101
2.723382,-0.0035,-2.6177
2.731389,-0.0035,-2.6254
2.739396,-0.0035,-2.6331
2.747403,-0.0035,-2.6408
2.75541,-0.0035,-2.6485
2.763417,-0.0036,-2.6562
2.771424,-0.0036,-2.6639
2.779431,-0.0036,-2.6716
2.787438,-0.0036,-2.6793
2.795445,-0.0036,-2.687
2.803452,-0.0037,-2.6947
2.811459,-0.0037,-2.7023
2.819466,-0.0037,-2.71
2.827473,-0.0037,-2.7177
2.83548,-0.0038,-2.7254
2.843487,-0.0038,-2.7331
2.851494,-0.0038,-2.7408
2.859502,-0.0038,-2.7485
2.867509,-0.0038,-2.7562
2.875516,-0.0039,-2.7639
2.883523,-0.0039,-2.7716
2.89153,-0.0039,-2.7793
2.899537,-0.0039,-2.7869
2.907544,-0.0039,-2.7946
2.915551,-0.004,-2.8023
2.923558,-0.004,-2.81
2.931565,-0.004,-2.8177
2.939572,-0.004,-2.8254
2.947579,-0.0041,-2.8331
2.955586,-0.0041,-2.8408
2.963593,-0.0041,-2.8485
2.9716,-0.0041,-2.8562
2.979607,-0.0041,-2.8639
2.987614,-0.0042,-2.8715
2.995621,-0.0042,-2.8792
3.003628,-0.0042,-2.8869
3.011635,-0.0042,-2.8946
3.019642,-0.0043,-2.9023
3.027649,-0.0043,-2.91
3.035656,-0.0043,-2.9177
3.043663,-0.0043,-2.9254
3.05167,-0.0043,-2.9331
3.059677,-0.0044,-2.9408
3.067684,-0.0044,-2.9484
3.075691,-0.0044,-2.9561
3.083698,-0.0044,-2.9638
3.091705,-0.0045,-2.9715
3.099712,-0.0045,-2.9792
3.107719,-0.0045,-2.9869
3.115726,-0.0045,-2.9946
3.123733,-0.0046,-3.0023
3.13174,-0.0046,-3.01
3.139747,-0.0046,-3.0176
3.147754,-0.0046,-3.0253
3.155761,-0.0046,-3.033
3.163768,-0.0047,-3.0407
3.171775,-0.0047,-3.0484
3.179782,-0.0047,-3.0561
3.187789,-0.0047,-3.0638
3.195796,-0.0048,-3.0715
3.203803,-0.0048,-3.0792
3.21181,-0.0048,-3.0868
3.219817,-0.0048,-3.0945
3.227824,-0.0049,-3.1022
3.235831,-0.0049,-3.1099
3.243838,-0.0049,-3.1176
3.251845,-0.0049,-3.1253
3.259852,-0.005,-3.133
3.267859,-0.005,-3.1407
3.275866,-0.005,-3.1484
3.283873,-0.005,-3.156
3.29188,-0.0051,-3.1637
3.299887,-0.0051,-3.1714
3.307894,-0.0051,-3.1791
3.315901,-0.0051,-3.1868
3.323908,-0.0052,-3.1945
3.331915,-0.0052,-3.2022
3.339922,-0.0052,-3.2099
3.347929,-0.0052,-3.2176
3.355936,-0.0053,-3.2252
3.363943,-0.0053,-3.2329
3.37195,-0.0053,-3.2406
3.379957,-0.0053,-3.2483
3.387964,-0.0054,-3.256
3.395971,-0.0054,-3.2637
3.403978,-0.0054,-3.2714
3.411985,-0.0054,-3.2791
3.419992,-0.0055,-3.2867
3.427999,-0.0055,-3.2944
3.436006,-0.0055,-3.3021
3.444013,-0.0055,-3.3098
3.45202,-0.0056,-3.3175
3.460027,-0.0056,-3.3252
3.468034,-0.0056,-3.3329
3.476041,-0.0056,-3.3406
3.484048,-0.0057,-3.3482
3.492055,-0.0057,-3.3559
3.500062,-0.0057,-3.3636
3.508069,-0.0057,-3.3713
